otu	sim	del	ins	mis	len	score	hit
1	denovo6083	83.82	13	29	53	587	246	H6_AJ291520
2	denovo10674	74.34	10	12	56	304	249.5	F114_AJ291525
3	denovo1074	73.03	9	15	58	304	258	F3.1a_AM748566
4	denovo9636	75.49	9	18	48	306	265	I2_FN561560
5	denovo9347	68.95	12	16	67	306	272	I4_FN561562
6	denovo5074	74.83	10	15	47	286	273	B4_AF333510
7	denovo7548	74.83	10	15	47	286	273	B4_AF333510
8	denovo478	66.67	18	11	56	255	274.5	A113_AF184948
9	denovo7096	76.14	11	11	51	306	274.5	I1_FN561559
10	denovo11605	78.23	11	17	36	294	275	F5.1c_AM748593
11	denovo1315	76.53	12	19	38	294	275.5	F1_JN558066
12	denovo4066	74.49	14	14	47	294	278.5	F102_AJ291534
13	denovo10456	69.28	12	16	66	306	281	I4_FN561562
14	denovo7461	70.39	6	14	70	304	282	F3.1a_AM748566
15	denovo5648	71.9	9	17	60	306	282.5	I4_FN561562
16	denovo2870	72.37	14	9	61	304	283	F3.1a_AM748566;F114_AJ291525
17	denovo10389	69.72	18	13	45	251	285	A150_EU074928
18	denovo10389	72.55	16	13	41	255	285	A112_AF184949
19	denovo10358	68.81	12	14	66	295	285	F3.4_AM748570
20	denovo5792	72.51	10	12	47	251	285.5	A7_AY239360
21	denovo4750	74.22	14	14	38	256	285.5	A136_DQ865210
22	denovo10770	77.45	14	18	37	306	285.5	I3_FN561561
23	denovo1121	68.31	12	12	66	284	287	F110_AJ291526
24	denovo10363	72.82	13	11	57	298	287.5	F3.2_AM748567
25	denovo3764	72.79	12	15	53	294	291	F5.2c_AM748596
26	denovo11478	77.93	9	20	54	376	291	D1.2_AM748617
27	denovo9435	78.19	15	36	77	587	291	H6_AJ291520
28	denovo7487	69.04	15	9	63	281	292	F112_AJ291528
29	denovo6286	78.91	11	13	38	294	292	F5.2g_JN558072
30	denovo6286	74.83	11	13	50	294	292	F5.1c_AM748593
31	denovo4882	75.39	14	15	34	256	292.5	A136_DQ865210
32	denovo3486	78.1	13	18	36	306	292.5	I3_FN561561
33	denovo7682	78.29	12	16	33	281	293	F111_AJ311949
34	denovo3833	73.03	10	13	59	304	293.5	F3.1a_AM748566
35	denovo9169	73.2	11	17	54	306	294.5	I3_FN561561
36	denovo11055	73.53	8	19	54	306	294.5	I3_FN561561
37	denovo592	71.9	9	14	63	306	294.5	I3_FN561561
38	denovo9830	78.4	10	11	33	250	295	A119_AF180121
39	denovo4724	76.32	11	16	45	304	296	F3.1a_AM748566
40	denovo11787	70.07	12	13	63	294	297	F5.1d_JN558069
41	denovo9481	70.32	11	16	57	283	297.5	C33.1_AY258498
42	denovo1912	76.19	10	19	41	294	297.5	F5.2e_AJ291533
43	denovo4098	69.61	11	12	70	306	297.5	I3_FN561561
44	denovo6143	70.53	16	15	53	285	298	E101_AY160123
45	denovo1722	77.11	9	16	40	284	298.5	B30_GU907644
46	denovo56	70.26	12	11	68	306	299.5	I4_FN561562
47	denovo1273	75.2	11	9	42	250	300	A115_AF180123
48	denovo6000	72.89	15	16	46	284	300	F110_AJ291526
49	denovo1876	75	14	15	35	256	301	A136_DQ865210
50	denovo6040	70.67	11	16	56	283	301	C33.1_AY258498
51	denovo4797	74.9	9	12	43	255	301.5	A1.4_HE578977
52	denovo9322	74.19	11	15	46	279	302.5	F4.4b_AM748584
53	denovo11895	75.51	8	16	48	294	303.5	F5.1b_AJ291535
54	denovo9652	72.58	15	13	54	299	303.5	F3.2_AM748567
55	denovo2690	71.71	18	13	55	304	303.5	F114_AJ291525
56	denovo8717	79.75	10	32	73	568	303.5	C1_JN558041
57	denovo3385	68.95	17	13	65	306	304	I1_FN561559
58	denovo9705	69	14	13	57	271	304.5	D112_AF174558
59	denovo11584	83.45	12	31	51	568	304.5	C1_JN558041
60	denovo5111	74.61	14	13	38	256	305	A136_DQ865210
61	denovo11174	73.9	12	14	51	295	305	F3.4b_AM748616
62	denovo11363	74.61	14	13	38	256	305.5	A136_DQ865210
63	denovo7100	73.13	12	14	53	294	305.5	F5.1d_JN558069
64	denovo8915	70.25	9	16	58	279	306	F4.4b_AM748584
65	denovo10473	71.77	10	14	59	294	306	F5.1_AM748592
66	denovo8713	68.66	10	11	68	284	306.5	F4.5_AM748585
67	denovo6094	73.71	10	12	44	251	307	A7_AY239360
68	denovo9388	74.3	11	17	45	284	307	F4.5_AM748585
69	denovo10831	71.26	14	10	49	254	307.5	A107_AB207199
70	denovo753	65.62	19	9	60	256	307.5	A136_DQ865210
71	denovo7403	71.78	12	11	58	287	307.5	B1d_GU907633
72	denovo5274	71.57	11	15	61	306	307.5	I2_FN561560
73	denovo8856	74.5	14	16	34	251	308	A15b_EU792886
74	denovo7501	71.71	12	16	58	304	308	F3.1a_AM748566
75	denovo9797	72.89	8	13	56	284	308.5	F109_AJ291527
76	denovo8748	73.81	18	11	48	294	309.5	F5.2g_JN558072
77	denovo2615	75	8	16	52	304	309.5	F3.1a_AM748566
78	denovo10124	70.26	10	17	64	306	309.5	I4_FN561562
79	denovo8480	71.02	11	16	55	283	310	C33.1_AY258498
80	denovo12008	76.61	8	15	46	295	310	F3.4_AM748570;F3.4b_AM748616
81	denovo6041	76.61	8	15	46	295	310	F3.4_AM748570;F3.4b_AM748616
82	denovo6382	77.21	11	18	38	294	311	F5.2c_AM748596
83	denovo12086	71.78	15	10	56	287	312	G3_AM748600
84	denovo7137	74.67	12	10	55	304	312	F3.1_AM748565;F114_AJ291525
85	denovo11283	76.74	14	13	40	288	312.5	B1g_GU907635
86	denovo11745	73.47	13	15	50	294	312.5	F5.1c_AM748593
87	denovo11745	71.43	13	15	56	294	312.5	F5.1a_AM748591
88	denovo913	76.25	13	14	44	299	312.5	F3.2a_AM748568
89	denovo10	77.6	10	10	36	250	313	A115_AF180123
90	denovo2797	71.54	15	19	73	376	313	D1.2_AM748617
91	denovo11810	77.2	10	11	36	250	315	A115_AF180123
92	denovo6442	77.2	10	11	36	250	315	A115_AF180123
93	denovo8011	68.92	9	11	58	251	315	A15b_EU792886;A15a_EU792885
94	denovo9537	73.4	15	16	44	282	315.5	C14_AY589741
95	denovo6785	71.04	18	17	51	297	315.5	B1.IV_Green2014
96	denovo5391	70.48	14	19	78	376	315.5	D1.2_AM748617
97	denovo10738	74.22	11	15	40	256	316	A136_DQ865210
98	denovo4453	72.66	15	12	43	256	316	A136_DQ865210
99	denovo9521	73.24	16	14	50	299	316	F3.2_AM748567
100	denovo6121	75	15	14	47	304	316	F3.1a_AM748566
101	denovo1198	70.48	15	17	79	376	316.5	D1.2_AM748617
102	denovo6057	71.09	11	14	49	256	317	A136_DQ865210
103	denovo9131	70.42	10	12	62	284	317	F4.5_AM748585
104	denovo5960	75.26	15	13	43	287	317	B1a_AF499779
105	denovo4550	69.34	9	13	66	287	317	B31a_GU907646
106	denovo4550	67.94	10	12	70	287	317	B32_GU907647
107	denovo6499	72.37	11	10	63	304	317	F3.1a_AM748566
108	denovo8960	72.22	15	11	59	306	317	I1_FN561559
109	denovo10391	70.74	14	20	76	376	317	D1.2_AM748617
110	denovo5409	75.78	10	11	41	256	317.5	A101_AF427468
111	denovo1360	71.48	10	11	52	256	317.5	A136_DQ865210
112	denovo4003	73.76	13	13	48	282	317.5	F4.3c_AM748581
113	denovo9146	70.74	17	16	77	376	317.5	D1.2_AM748617
114	denovo7048	72.94	11	15	43	255	318	A103_AB207206
115	denovo11700	74.22	14	15	45	287	318	B17_AY258470
116	denovo4839	68.64	9	13	68	287	318	B31a_GU907646
117	denovo5546	71.57	13	14	58	299	318	F3.2a_AM748568
118	denovo9204	71.74	16	21	67	368	318	D1.1_AM748564
119	denovo1246	71.05	14	14	60	304	318.5	F114_AJ291525
120	denovo11966	68.95	19	12	64	306	318.5	I4_FN561562
121	denovo9512	73.24	17	12	47	284	319	B23_EU449079
122	denovo10988	71.28	15	17	76	376	319	D1.2_AM748617
123	denovo8324	73.47	14	16	48	294	319.5	F5.1b_AJ291535
124	denovo3196	82.45	14	29	60	587	319.5	H6_AJ291520
125	denovo3417	70.42	11	13	60	284	320	F4.5_AM748585
126	denovo7835	71.09	16	16	53	294	320	F1_JN558066
127	denovo3756	69.92	13	12	52	256	320.5	A136_DQ865210
128	denovo11486	73.86	16	17	47	306	320.5	I1_FN561559
129	denovo5607	72.22	16	16	53	306	320.5	I3_FN561561
130	denovo5419	77.55	15	16	35	294	321	F5.1a_AM748591
131	denovo5731	70.2	13	13	50	255	321.5	A103_AB207206
132	denovo5287	70.82	14	15	53	281	321.5	F112_AJ291528
133	denovo10873	72.24	15	13	55	299	321.5	F3.2_AM748567
134	denovo9411	74.54	13	18	38	271	322	D118_EF656435
135	denovo11040	72.2	14	15	53	295	322	F3.3_AM748569
136	denovo1268	71.9	16	18	52	306	322	I1_FN561559
137	denovo11982	72.55	15	12	57	306	322	I1_FN561559
138	denovo10114	71.24	11	17	60	306	322	I4_FN561562
139	denovo8382	79.35	6	20	50	368	322	D1.1_AM748564
140	denovo953	74.12	17	12	37	255	322.5	A107_AB207199
141	denovo11846	75.69	11	14	45	288	322.5	B6_AF499783
142	denovo204	69.8	13	12	52	255	323	A106_AB207200
143	denovo3394	76.06	9	18	41	284	323	F4.8a_AM748589
144	denovo1122	75.33	17	12	46	304	323.5	F3.1_AM748565
145	denovo2160	84.33	12	36	41	568	323.5	C1_JN558041
146	denovo1024	69.32	9	11	57	251	324	A15b_EU792886;A15a_EU792885
147	denovo10833	71.76	12	12	48	255	324	A107_AB207199
148	denovo5181	72.39	14	16	52	297	324	B1.IV_Green2014
149	denovo10922	70.7	18	13	49	273	324.5	B7_AF499784
150	denovo10922	74.22	12	16	46	287	324.5	B17_AY258470
151	denovo5513	67.25	20	14	60	287	324.5	G3.4_LK392378
152	denovo5149	76.95	8	17	43	295	324.5	F3.4a_AM748571
153	denovo6602	71.04	18	16	52	297	324.5	B1.IV_Green2014
154	denovo4478	72.24	13	14	56	299	324.5	F3.2a_AM748568
155	denovo10409	73.36	15	16	50	304	324.5	F114_AJ291525
156	denovo10474	76.95	8	17	43	295	325	F3.4a_AM748571
157	denovo9412	71.78	14	16	51	287	325.5	G3_AM748600
158	denovo5692	74.15	14	15	47	294	325.5	F5.1c_AM748593
159	denovo5692	72.11	14	15	53	294	325.5	F5.1a_AM748591
160	denovo2890	73.68	13	15	52	304	325.5	F114_AJ291525
161	denovo5098	73.59	10	17	48	284	326	B23_EU449079
162	denovo8359	75.84	12	14	46	298	326	F3.2a_AM748568
163	denovo5268	75.89	13	14	41	282	326.5	F4.3c_AM748581
164	denovo3281	70.77	10	12	61	284	326.5	F4.5_AM748585
165	denovo430	70.77	10	12	61	284	326.5	F4.5_AM748585
166	denovo10468	73.36	14	16	51	304	326.5	F114_AJ291525
167	denovo11248	71.24	13	12	63	306	326.5	I1_FN561559
168	denovo814	70.57	15	12	56	282	327	F4.4_AM748582
169	denovo8169	75.69	18	11	41	288	327	B14_AY239362
170	denovo9646	74.25	14	14	49	299	327	F3.2_AM748567
171	denovo9304	71.91	16	14	54	299	327	F3.2a_AM748568
172	denovo9885	68.5	19	9	58	273	327.5	B7_AF499784
173	denovo8663	69.34	18	9	61	287	327.5	B7_AF499784
174	denovo3651	71.05	19	12	57	304	327.5	F114_AJ291525
175	denovo6658	72.22	14	12	59	306	327.5	I1_FN561559
176	denovo9632	70.26	17	10	64	306	327.5	I1_FN561559
177	denovo7234	70.31	14	12	50	256	328	A136_DQ865210
178	denovo5857	67.46	13	15	68	295	328	F3.4_AM748570;F3.4b_AM748616;F3.4a_AM748571
179	denovo7678	70.72	16	8	65	304	328	F3.1_AM748565;F3.1a_AM748566
180	denovo8823	80.34	17	31	66	580	328	H6_AJ291520
181	denovo4097	69.02	18	13	48	255	328.5	A105_AB207202
182	denovo4443	75.35	12	15	43	284	328.5	B30_GU907644
183	denovo4860	75.85	12	11	48	294	328.5	F5.2e_AJ291533
184	denovo3259	71.83	6	16	58	284	329	C1154_AB294626;C57_AY589761;C1184_AB294630
185	denovo548	73.17	10	13	54	287	329	B17_AY258470;B7_AF499784
186	denovo5547	74.66	19	18	37	292	329	F2a_AJ830911
187	denovo1120	76.03	7	10	53	292	329	F2b_AJ291521
188	denovo5547	70.72	18	17	54	304	329	F3.1a_AM748566
189	denovo7962	72.55	14	14	56	306	329	I3_FN561561
190	denovo6050	71.17	11	10	60	281	329.5	F4.1a_AM748573
191	denovo142	72.91	15	18	48	299	329.5	F3.2a_AM748568
192	denovo8853	72.04	14	12	59	304	329.5	F114_AJ291525
193	denovo2573	73.73	17	10	40	255	330	A1.4_HE578977;A131_EF656432;A130_EF656428
194	denovo2091	69.37	10	11	66	284	330	F4.5_AM748585
195	denovo7365	76.32	11	15	46	304	330	F114_AJ291525
196	denovo7363	73.03	12	11	59	304	330	F114_AJ291525
197	denovo4126	72.13	16	15	49	287	330.5	G3.4_LK392378
198	denovo1660	69.61	18	10	65	306	330.5	I1_FN561559
199	denovo3603	71.22	21	12	47	278	331	B119_EU099825
200	denovo3469	69.34	13	12	63	287	331	B124_EU074874;B7_AF499784
201	denovo754	75.17	10	18	45	294	331	F5.1c_AM748593
202	denovo3469	69.02	12	14	66	297	331	B1.IV_Green2014
203	denovo6906	73.36	15	17	49	304	331	F114_AJ291525
204	denovo10415	72.7	17	17	49	304	331	F114_AJ291525
205	denovo1316	75.66	9	12	53	304	331	F3.1a_AM748566
206	denovo3193	72.22	20	13	52	306	331	I1_FN561559
207	denovo7602	72.55	10	15	59	306	331.5	I2_FN561560
208	denovo304	76.89	13	9	36	251	332	A154_EU074860
209	denovo3812	72.16	21	13	37	255	332	A112_AF184949
210	denovo12002	73.44	20	10	38	256	332	A136_DQ865210
211	denovo10612	70.31	17	14	45	256	332	A136_DQ865210
212	denovo2472	70.73	17	20	47	287	332	G3.1_KC597688
213	denovo3661	71.04	17	15	54	297	332	B1.IV_Green2014
214	denovo8241	73.24	16	18	46	299	332	F3.2a_AM748568
215	denovo10612	70.26	17	15	59	306	332	I3_FN561561
216	denovo9212	75.53	11	21	60	376	332	D1.2_AM748617
217	denovo1452	75.29	22	10	31	255	332.5	A112_AF184949
218	denovo4768	69.8	12	14	51	255	332.5	A12_EU792883
219	denovo3481	73.24	15	13	48	284	332.5	F110_AJ291526
220	denovo2768	75.85	12	15	44	294	332.5	F5.1a_AM748591;F5.1b_AJ291535
221	denovo6788	74.92	12	10	53	299	332.5	F3.2_AM748567
222	denovo1801	84.68	13	31	43	568	332.5	C1_JN558041
223	denovo8737	71.57	16	19	52	306	333	I1_FN561559
224	denovo3432	69.02	13	12	54	255	333.5	A112_AF184949
225	denovo4957	71.78	10	16	55	287	333.5	G3_AM748600
226	denovo928	75.49	10	16	49	306	333.5	I1_FN561559
227	denovo4957	73.53	10	17	54	306	333.5	I1_FN561559
228	denovo2906	72.58	15	17	50	299	334	F3.2a_AM748568
229	denovo4114	76.8	11	14	46	306	334	I1_FN561559
230	denovo3635	73.2	12	14	56	306	334	I2_FN561560
231	denovo337	72.22	11	16	58	306	334	I2_FN561560
232	denovo4287	69.95	17	16	80	376	334	D1.2_AM748617
233	denovo9686	84.66	8	34	43	554	334	C1_JN558041
234	denovo274	75.35	12	14	44	284	334.5	B30_GU907644
235	denovo9601	73.61	11	15	50	288	334.5	B14_AY239362
236	denovo1022	73.22	13	20	46	295	334.5	F3.4b_AM748616
237	denovo4530	76.77	9	21	39	297	334.5	B1.IV_Green2014
238	denovo4147	74.6	11	13	39	248	335	A119_AF180121
239	denovo10178	71.31	19	7	46	251	335	A154_EU074860
240	denovo6478	73.73	15	13	39	255	335	A9_EU449028
241	denovo10719	70.07	15	12	58	284	335	E109_EU074913
242	denovo4821	74.83	13	14	47	294	335	F5.1a_AM748591;F5.1b_AJ291535
243	denovo11296	72.16	14	14	43	255	335.5	A111_AB190280;A107_AB207199
244	denovo2677	74.91	8	15	47	279	335.5	F4.4b_AM748584
245	denovo2891	75.33	16	17	42	304	335.5	F114_AJ291525
246	denovo1857	73.36	18	15	48	304	335.5	F114_AJ291525
247	denovo3666	73.68	14	16	50	304	335.5	F114_AJ291525
248	denovo5694	73.03	15	15	52	304	335.5	F114_AJ291525
